date, pm25, pm10, o3, no2, so2, co
2022/4/27, 57, , 44, 4, , 
2022/4/28, 67, , 45, 4, , 
2022/4/29, 62, , 47, 8, , 
2022/4/30, 61, , 52, 10, , 
2022/5/1, 66, , 51, 6, , 
2022/5/2, 65, , 41, 2, , 
2022/5/3, 59, , 42, 4, , 
2022/5/4, 60, , 48, 9, , 
2022/5/5, 63, , 49, 12, , 
2022/5/6, 64, , 47, 10, , 
2022/5/7, 62, , 40, 8, , 
2022/5/8, 55, , 35, 3, , 
2022/5/9, 54, , 41, 4, , 
2022/5/10, 44, , 35, 8, , 
2022/5/11, 41, , 38, 6, , 
2022/5/12, 31, , 43, 6, , 
2022/5/13, 34, , 61, 12, , 
2022/5/14, 41, , 87, 14, , 
2022/5/15, 54, , 57, 11, , 
2022/5/16, 57, , 39, 4, , 
2022/5/17, 62, , 35, 6, , 
2022/5/18, 57, , 44, 6, , 
2022/5/19, 64, , 39, 6, , 
2022/5/20, 69, , 34, 4, , 
2022/5/21, 39, , 36, 2, , 
2022/5/22, 41, , 39, 3, , 
2022/5/23, 50, , 41, 5, , 
2022/5/24, 60, , 49, 5, , 
2022/5/25, 69, , 61, 8, , 
2022/5/26, 71, , 42, 4, , 
2022/5/27, 59, , 37, 2, , 
2022/5/28, 47, , 33, 2, , 
2022/5/29, 46, , 31, 2, , 
2022/5/30, 42, , 34, 2, , 
2022/5/31, 54, , 43, 6, , 
2022/6/1, 61, , 45, 14, , 
2022/6/2, 64, , 44, 4, , 
2022/6/3, 65, , 42, 5, , 
2022/6/4, 64, , 35, 3, , 
2022/6/5, 51, , 36, 4, , 
2022/6/6, 49, , 37, 5, , 
2022/6/7, 47, , 41, 9, , 
2022/6/8, 56, , 49, 8, , 
2022/6/9, 64, , 68, 9, , 
2022/6/10, 68, , 72, 8, , 
2022/6/11, 72, , 51, 5, , 
2022/6/12, 52, , 49, 5, , 
2022/6/13, 57, , 35, 2, , 
2022/6/14, 49, , 45, 4, , 
2022/6/15, 51, , 54, 7, , 
2022/6/16, 61, , 53, 6, , 
2022/6/17, 68, , 44, 2, , 
2022/6/18, 54, , 42, 4, , 
2022/6/19, 44, , 35, 5, , 
2022/6/20, 47, , 53, 12, , 
2022/6/21, 45, , 48, 12, , 
2022/6/22, 64, , 45, 11, , 
2022/6/23, 60, , 45, 8, , 
2022/6/24, 51, , 53, 11, , 
2022/6/25, 53, , 48, 7, , 
2022/6/26, 53, , 55, 7, , 
2022/6/27, 56, , 56, 10, , 
2022/6/28, 53, , 61, 12, , 
2022/6/29, 57, , 53, 8, , 
2022/6/30, 58, , 57, 7, , 
2022/7/1, 63, , 45, 8, , 
2022/1/4, 56, , 18, 24, , 
2022/1/5, 66, , 16, 29, , 
2022/1/6, 87, , 18, 29, , 
2022/1/7, 60, , 23, 28, , 
2022/1/8, 100, , 33, 14, , 
2022/1/9, 70, , 28, 18, , 
2022/1/10, 65, , 20, 22, , 
2022/1/11, 38, , 29, 20, , 
2022/1/12, 35, , 18, 26, , 
2022/1/13, 49, , 4, 33, , 
2022/1/14, 61, , 21, 28, , 
2022/1/15, 66, , 20, 23, , 
2022/1/16, 56, , 29, 14, , 
2022/1/17, 37, , 23, 19, , 
2022/1/18, 58, , 27, 11, , 
2022/1/19, 62, , 21, 14, , 
2022/1/20, 67, , 27, 18, , 
2022/1/21, 54, , 32, 14, , 
2022/1/22, 37, , 32, 1, , 
2022/1/23, 19, , 32, 6, , 
2022/1/24, 24, , 21, 26, , 
2022/1/25, 46, , 26, 24, , 
2022/1/26, 63, , 29, 22, , 
2022/1/27, 54, , 28, 24, , 
2022/1/28, 40, , 30, 22, , 
2022/1/29, 47, , 14, 29, , 
2022/1/30, 47, , 30, 21, , 
2022/1/31, 58, , 18, 29, , 
2022/2/1, 77, , 31, 22, , 
2022/2/2, 76, , 33, 18, , 
2022/2/3, 42, , 25, 24, , 
2022/2/4, 58, , 28, 22, , 
2022/2/5, 49, , 31, 22, , 
2022/2/6, 51, , 33, 23, , 
2022/2/7, 53, , 32, 24, , 
2022/2/8, 52, , 32, 24, , 
2022/2/9, 50, , 33, 16, , 
2022/2/10, 33, , 31, 10, , 
2022/2/11, 31, , 34, 27, , 
2022/2/12, 53, , 36, 21, , 
2022/2/13, 50, , 41, 17, , 
2022/2/14, 46, , 36, 21, , 
2022/2/15, 56, , 29, 4, , 
2022/2/16, 46, , 26, 10, , 
2022/2/17, 37, , 33, 15, , 
2022/2/18, 43, , 35, 20, , 
2022/2/19, 48, , 38, 17, , 
2022/2/20, 56, , 37, 12, , 
2022/2/21, 67, , 34, 4, , 
2022/2/22, 56, , 31, 3, , 
2022/2/23, 39, , 32, 4, , 
2022/2/24, 32, , 33, 11, , 
2022/2/25, 36, , 33, 20, , 
2022/2/26, 53, , 34, 19, , 
2022/2/27, 49, , 39, 18, , 
2022/2/28, 44, , 34, 20, , 
2022/3/1, 44, , 36, 18, , 
2022/3/2, 47, , 37, 28, , 
2022/3/3, 57, , 41, 22, , 
2022/3/4, 72, , 31, 3, , 
2022/3/5, 37, , 34, 4, , 
2022/3/6, 42, , 34, 9, , 
2022/3/7, 45, , 35, 15, , 
2022/3/8, 42, , 37, 18, , 
2022/3/9, 42, , 37, 16, , 
2022/3/10, 56, , 37, 7, , 
2022/3/11, 56, , 40, 13, , 
2022/3/12, 38, , 41, 16, , 
2022/3/13, 44, , 43, 12, , 
2022/3/14, 51, , 43, 10, , 
2022/3/15, 55, , 37, 17, , 
2022/3/16, 59, , 34, 10, , 
2022/3/17, 41, , 38, 13, , 
2022/3/18, 46, , 40, 18, , 
2022/3/19, 56, , 34, 12, , 
2022/3/20, 56, , 35, 1, , 
2022/3/21, 27, , 36, 9, , 
2022/3/22, 53, , 42, 16, , 
2022/3/23, 48, , 41, 17, , 
2022/3/24, 44, , 44, 16, , 
2022/3/25, 48, , 38, 17, , 
2022/3/26, 51, , 40, 10, , 
2022/3/27, 63, , 37, 2, , 
2022/3/28, 54, , 32, 2, , 
2022/3/29, 32, , 34, 8, , 
2022/3/30, 36, , 31, 7, , 
2022/3/31, 53, , 31, 5, , 
2022/4/1, 52, , 39, 7, , 
2021/10/2, 52, , 66, 20, , 
2021/10/3, 51, , 68, 17, , 
2021/10/4, 51, , 57, 20, , 
2021/10/5, 55, , 48, 9, , 
2021/10/6, 51, , 43, 8, , 
2021/10/7, 57, , 30, 5, , 
2021/10/8, 46, , 30, 4, , 
2021/10/9, 32, , 34, 11, , 
2021/10/10, 39, , 50, 16, , 
2021/10/11, 53, , 36, 11, , 
2021/10/12, 65, , 33, 4, , 
2021/10/13, 38, , 38, 19, , 
2021/10/14, 46, , 41, 23, , 
2021/10/15, 59, , 45, 22, , 
2021/10/16, 50, , 50, 20, , 
2021/10/17, 43, , 45, 14, , 
2021/10/18, 53, , 32, 4, , 
2021/10/19, 36, , 33, 13, , 
2021/10/20, 40, , 40, 17, , 
2021/10/21, 49, , 53, 18, , 
2021/10/22, 49, , 27, 14, , 
2021/10/23, 52, , 28, 7, , 
2021/10/24, 46, , 37, 7, , 
2021/10/25, 45, , 27, 9, , 
2021/10/26, 33, , 28, 13, , 
2021/10/27, 41, , 38, 21, , 
2021/10/28, 43, , 46, 22, , 
2021/10/29, 46, , 36, 25, , 
2021/10/30, 54, , 30, 19, , 
2021/10/31, 71, , 34, 10, , 
2021/11/1, 83, , 26, 18, , 
2021/11/2, 71, , 22, 18, , 
2021/11/3, 58, , 29, 21, , 
2021/11/4, 69, , 33, 24, , 
2021/11/5, 73, , 34, 28, , 
2021/11/6, 91, , 39, 24, , 
2021/11/7, 136, , 43, 15, , 
2021/11/8, 105, , 38, 19, , 
2021/11/9, 94, , 33, 16, 25, 
2021/11/10, 59, , 31, 21, , 
2021/11/11, 67, , 36, 27, , 
2021/11/12, 50, , 36, 21, , 
2021/11/13, 37, , 44, 23, , 
2021/11/14, 43, , 53, 21, , 
2021/11/15, 47, , 41, 24, , 
2021/11/16, 53, , 19, 20, , 
2021/11/17, 68, , 23, 22, , 
2021/11/18, 82, , 20, 21, , 
2021/11/19, 77, , 19, 22, , 
2021/11/20, 89, , 25, 18, , 
2021/11/21, 99, , 31, 15, , 
2021/11/22, 56, , 24, 22, , 
2021/11/23, 37, , 27, 22, , 
2021/11/24, 43, , 35, 15, , 
2021/11/25, 41, , 34, 12, , 
2021/11/26, 34, , 30, 23, , 
2021/11/27, 51, , 28, 26, , 
2021/11/28, 60, , 34, 25, , 
2021/11/29, 71, , 27, 30, , 
2021/11/30, 62, , 20, 41, , 
2021/12/1, 88, , 19, 37, , 
2021/12/2, 87, , 18, 26, , 
2021/12/3, 96, , 23, 23, , 
2021/12/4, 125, , 26, 19, , 
2021/12/5, 122, , 22, 22, , 
2021/12/6, 108, , 28, 28, , 
2021/12/7, 115, , 22, 16, , 
2021/12/8, 73, , 22, 17, , 
2021/12/9, 72, , 27, 5, , 
2021/12/10, 33, , 22, 17, , 
2021/12/11, 44, , 26, 19, , 
2021/12/12, 51, , 29, 18, , 
2021/12/13, 66, , 23, 19, , 
2021/12/14, 66, , 30, 4, , 
2021/12/15, 27, , 22, 18, , 
2021/12/16, 43, , 14, 19, , 
2021/12/17, 56, , 19, 18, , 
2021/12/18, 61, , 23, 21, , 
2021/12/19, 53, , 21, 23, , 
2021/12/20, 79, , 18, 26, , 
2021/12/21, 83, , 19, 26, , 
2021/12/22, 56, , 7, 31, , 
2021/12/23, 77, , 26, 12, , 
2021/12/24, 41, , 28, 5, , 
2021/12/25, 36, , 29, 6, , 
2021/12/26, 60, , 26, 10, , 
2021/12/27, 35, , 26, 13, , 
2021/12/28, 58, , 27, 14, , 
2021/12/29, 38, , 24, 11, , 
2021/12/30, 42, , 26, 4, , 
2021/12/31, 28, , 25, 9, , 
2022/1/1, 37, , 29, 11, , 
2022/1/2, 65, , 27, 16, , 
2022/1/3, 42, , 21, 21, , 
2021/7/2, 57, , 47, 8, , 
2021/7/3, 53, , 50, 7, , 
2021/7/4, 51, , 44, 5, , 
2021/7/5, 64, , 45, 6, , 
2021/7/6, 109, , 52, 7, , 
2021/7/7, 52, , 52, 9, , 
2021/7/8, 58, , 54, 12, , 
2021/7/9, 65, , 59, 10, , 
2021/7/10, 60, , 46, 8, , 
2021/7/11, 61, , 49, 7, , 
2021/7/12, 65, , 40, 7, , 
2021/7/13, 62, , 44, 8, , 
2021/7/14, 60, , 42, 8, , 
2021/7/15, 60, , 45, 6, , 
2021/7/16, 55, , 46, 5, , 
2021/7/17, 48, , 51, 7, , 
2021/7/18, 52, , 54, 6, , 
2021/7/19, 52, , 52, 9, , 
2021/7/20, 55, , 48, 10, , 
2021/7/21, 57, , 50, 9, , 
2021/7/22, 58, , 39, 10, , 
2021/7/23, 67, , 44, 8, , 
2021/7/24, 67, , 45, 6, , 
2021/7/25, 67, , 46, 4, , 
2021/7/26, 58, , 33, 7, , 
2021/7/27, 56, , 47, 7, , 
2021/7/28, 53, , 43, 9, , 
2021/7/29, 41, , 42, 12, , 
2021/7/30, 52, , 48, 9, , 
2021/7/31, 51, , 44, 9, , 
2021/8/1, 52, , 53, 11, , 
2021/8/2, 52, , 63, 14, , 
2021/8/3, 50, , 54, 15, , 
2021/8/4, 55, , 56, 10, , 
2021/8/5, 55, , 58, 11, , 
2021/8/6, 64, , 45, 10, , 
2021/8/7, 64, , 56, 7, , 
2021/8/8, 73, , 62, 5, , 
2021/8/9, 64, , 54, 7, , 
2021/8/10, 61, , 60, 10, , 
2021/8/11, 54, , 46, 9, , 
2021/8/12, 51, , 48, 10, , 
2021/8/13, 45, , 38, 12, , 
2021/8/14, 51, , 49, 10, , 
2021/8/15, 58, , 58, 8, , 
2021/8/16, 53, , 46, 11, , 
2021/8/17, 56, , 35, 8, , 
2021/8/18, 56, , 24, 3, , 
2021/8/19, 46, , 36, 4, , 
2021/8/20, 41, , 40, 4, , 
2021/8/21, 45, , 40, 2, , 
2021/8/22, 47, , 45, 5, , 
2021/8/23, 55, , 50, 6, , 
2021/8/24, 58, , 58, 9, , 
2021/8/25, 63, , 67, 12, , 
2021/8/26, 67, , 83, 16, , 
2021/8/27, 73, , 61, 16, , 
2021/8/28, 68, , 66, 10, , 
2021/8/29, 63, , 63, 9, , 
2021/8/30, 66, , 46, 8, , 
2021/8/31, 70, , 37, 8, , 
2021/9/1, 72, , 39, 5, , 
2021/9/2, 65, , 50, 5, , 
2021/9/3, 61, , 59, 10, , 
2021/9/4, 65, , 53, 14, , 
2021/9/5, 50, , 73, 15, , 
2021/9/6, 50, , 63, 5, , 
2021/9/7, 71, , 56, 8, , 
2021/9/8, 67, , 64, 10, , 
2021/9/9, 68, , 73, 10, , 
2021/9/10, 57, , 52, 11, , 
2021/9/11, 56, , 46, 11, , 
2021/9/12, 51, , 56, 13, , 
2021/9/13, 55, , 53, 12, , 
2021/9/14, 52, , 52, 17, , 
2021/9/15, 64, , 52, 11, , 
2021/9/16, 67, , 51, 7, , 
2021/9/17, 63, , 54, 8, , 
2021/9/18, 62, , 42, 8, , 
2021/9/19, 53, , 48, 8, , 
2021/9/20, 59, , 56, 14, , 
2021/9/21, 62, , 56, 16, , 
2021/9/22, 57, , 39, 17, , 
2021/9/23, 49, , 24, 17, , 
2021/9/24, 54, , 40, 15, , 
2021/9/25, 61, , 43, 9, , 
2021/9/26, 57, , 36, 4, , 
2021/9/27, 55, , 25, 8, , 
2021/9/28, 59, , 36, 6, , 
2021/9/29, 47, , 41, 12, , 
2021/9/30, 50, , 50, 18, , 
2021/10/1, 51, , 56, 25, , 
2021/4/2, 42, , 48, 15, , 
2021/4/3, 58, , 51, 10, , 
2021/4/4, 63, , 56, 11, , 
2021/4/5, 63, , 36, 10, , 
2021/4/6, 54, , 41, 9, , 
2021/4/7, 56, , 49, 11, , 
2021/4/8, 56, , 41, 11, , 
2021/4/9, 58, , 48, 12, , 
2021/4/10, 63, , 54, 10, , 
2021/4/11, 64, , 49, 8, , 
2021/4/12, 72, , 47, 4, , 
2021/4/13, 64, , 37, 3, , 
2021/4/14, 53, , 42, 3, , 
2021/4/15, 51, , 40, 9, , 
2021/4/16, 56, , 44, 9, , 
2021/4/17, 59, , 45, 9, , 
2021/4/18, 63, , 42, 8, , 
2021/4/19, 38, , 51, 11, , 
2021/4/20, 47, , 43, 8, , 
2021/4/21, 62, , 35, 2, , 
2021/4/22, 48, , 36, 2, , 
2021/4/23, 39, , 37, 3, , 
2021/4/24, 46, , 39, 3, , 
2021/4/25, 47, , 38, 2, , 
2021/4/26, 41, , 34, 2, , 
2021/4/27, 29, , 37, 3, , 
2021/4/28, 37, , 42, 10, , 
2021/4/29, 38, , 56, 15, , 
2021/4/30, 45, , 70, 19, , 
2021/5/1, 55, , 41, 11, , 
2021/5/2, 66, , 40, 2, , 
2021/5/3, 52, , 38, 7, , 
2021/5/4, 62, , 58, 12, , 
2021/5/5, 66, , 58, 11, , 
2021/5/6, 65, , 40, 7, , 
2021/5/7, 63, , 42, 5, , 
2021/5/8, 60, , 46, 4, , 
2021/5/9, 57, , 46, 5, , 
2021/5/10, 63, , 38, 4, , 
2021/5/11, 57, , 44, 3, , 
2021/5/12, 54, , 43, 4, , 
2021/5/13, 53, , 39, 4, , 
2021/5/14, 55, , 43, 5, , 
2021/5/15, 56, , 39, 3, , 
2021/5/16, 46, , 35, 1, , 
2021/5/17, 30, , 37, 2, , 
2021/5/18, 40, , 42, 3, , 
2021/5/19, 46, , 45, 6, , 
2021/5/20, 57, , 42, 3, , 
2021/5/21, 56, , 37, 4, , 
2021/5/22, 44, , 38, 2, , 
2021/5/23, 48, , 37, 5, , 
2021/5/24, 50, , 53, 9, , 
2021/5/25, 48, , 52, 14, , 
2021/5/26, 56, , 35, 9, , 
2021/5/27, 58, , 44, 5, , 
2021/5/28, 60, , 49, 7, , 
2021/5/29, 64, , 41, 4, , 
2021/5/30, 54, , 41, 3, , 
2021/5/31, 54, , 44, 4, , 
2021/6/1, 55, , 44, 5, , 
2021/6/2, 59, , 51, 7, , 
2021/6/3, 53, , 50, 7, , 
2021/6/4, 60, , 44, 8, , 
2021/6/5, 60, , 40, 7, , 
2021/6/6, 56, , 36, 3, , 
2021/6/7, 48, , 29, 4, , 
2021/6/8, 33, , 41, 3, , 
2021/6/9, 37, , 36, 6, , 
2021/6/10, 37, , 39, 6, , 
2021/6/11, 41, , 52, 11, , 
2021/6/12, 48, , 64, 11, , 
2021/6/13, 54, , 61, 9, , 
2021/6/17, 66, , 48, 14, , 
2021/6/18, 74, , 45, 11, , 
2021/6/19, 61, , 50, 5, , 
2021/6/20, 58, , 44, 4, , 
2021/6/21, 51, , 48, 6, , 
2021/6/22, 56, , 38, 5, , 
2021/6/23, 41, , 34, 6, , 
2021/6/24, 34, , 30, 4, , 
2021/6/25, 31, , 32, 6, , 
2021/6/26, 40, , 48, 6, , 
2021/6/27, 50, , 54, 8, , 
2021/6/28, 75, , 58, 9, , 
2021/6/29, 66, , 36, 7, , 
2021/6/30, 60, , 43, 7, , 
2021/7/1, 54, , 48, 6, , 
2021/1/5, 66, , 15, 20, , 
2021/1/6, 75, , 24, 25, , 
2021/1/7, 66, , 22, 26, , 
2021/1/8, 58, , 31, 23, , 
2021/1/9, 55, , 29, 13, , 
2021/1/10, 49, , 28, 20, , 
2021/1/11, 47, , 26, 24, , 
2021/1/12, 48, , 21, 27, , 
2021/1/13, 56, , 18, 29, , 
2021/1/14, 57, , 25, 28, , 
2021/1/15, 51, , 30, 19, , 
2021/1/16, 34, , 35, 25, , 
2021/1/17, 46, , 38, 21, , 
2021/1/18, 47, , 31, 22, , 
2021/1/19, 52, , 32, 7, , 
2021/1/20, 49, , 31, 9, , 
2021/1/21, 30, , 28, 19, , 
2021/1/22, 49, , 31, 11, , 
2021/1/23, 42, , 23, 11, , 
2021/1/24, 45, , 27, 10, , 
2021/1/25, 56, , 31, 6, , 
2021/1/26, 28, , 31, 12, , 
2021/1/27, 35, , 28, 10, , 
2021/1/28, 34, , 30, 12, , 
2021/1/29, 39, , 28, 8, , 
2021/1/30, 30, , 30, 13, , 
2021/1/31, 53, , 29, 15, , 
2021/2/1, 50, , 16, 25, , 
2021/2/2, 45, , 31, 17, , 
2021/2/3, 46, , 25, 12, , 
2021/2/4, 51, , 28, 16, , 
2021/2/5, 54, , 32, 19, , 
2021/2/6, 56, , 33, 21, , 
2021/2/7, 60, , 38, 21, , 
2021/2/8, 78, , 35, 17, , 
2021/2/9, 79, , 33, 10, , 
2021/2/10, 70, , 36, 13, , 
2021/2/11, 64, , 39, 17, , 
2021/2/12, 68, , 32, 10, , 
2021/2/13, 54, , 34, 11, , 
2021/2/14, 41, , 36, 1, , 
2021/2/15, 21, , 28, 13, , 
2021/2/16, 40, , 35, 9, , 
2021/2/17, 40, , 33, 3, , 
2021/2/18, 30, , 36, 12, , 
2021/2/19, 31, , 34, 22, , 
2021/2/20, 50, , 35, 13, , 
2021/2/21, 44, , 40, 11, , 
2021/2/22, 29, , 36, 21, , 
2021/2/23, 39, , 34, 22, , 
2021/2/24, 39, , 37, 22, , 
2021/2/25, 50, , 37, 20, , 
2021/2/26, 52, , 36, 22, , 
2021/2/27, 45, , 37, 8, , 
2021/2/28, 35, , 37, 13, , 
2021/3/1, 40, , 36, 19, , 
2021/3/2, 36, , 38, 19, , 
2021/3/3, 37, , 36, 18, , 
2021/3/4, 44, , 37, 15, , 
2021/3/5, 46, , 44, 15, , 
2021/3/6, 44, , 38, 13, , 
2021/3/7, 52, , 32, 6, , 
2021/3/8, 48, , 35, 5, , 
2021/3/9, 35, , 36, 11, , 
2021/3/10, 40, , 32, 4, , 
2021/3/11, 24, , 35, 9, , 
2021/3/12, 24, , 34, 16, , 
2021/3/13, 45, , 34, 12, , 
2021/3/14, 53, , 39, 4, , 
2021/3/15, 50, , 32, 3, , 
2021/3/16, 25, , 32, 8, , 
2021/3/17, 32, , 37, 16, , 
2021/3/18, 49, , 41, 17, , 
2021/3/19, 54, , 35, 14, , 
2021/3/20, 46, , 38, 7, , 
2021/3/21, 43, , 39, 6, , 
2021/3/22, 36, , 37, 8, , 
2021/3/23, 37, , 37, 9, , 
2021/3/24, 35, , 40, 3, , 
2021/3/25, 24, , 35, 5, , 
2021/3/26, 40, , 35, 8, , 
2021/3/27, 41, , 40, 15, , 
2021/3/28, 49, , 47, 14, , 
2021/3/29, 40, , 46, 17, , 
2021/3/30, 52, , 47, 12, , 
2021/3/31, 60, , 50, 15, , 
2021/4/1, 52, , 47, 17, , 
2020/10/2, 83, , 101, 24, , 
2020/10/3, 80, , 105, 21, , 
2020/10/4, 90, , 84, 17, , 
2020/10/5, 107, , 77, 23, , 
2020/10/6, 122, , 84, 23, , 
2020/10/7, 100, , 63, 18, , 
2020/10/8, 95, , 48, 7, , 
2020/10/9, 81, , 44, 8, , 
2020/10/10, 74, , 46, 6, , 
2020/10/11, 68, , 47, 10, , 
2020/10/12, 58, , 52, 18, , 
2020/10/13, 56, , 48, 22, , 
2020/10/14, 55, , 86, 27, , 
2020/10/15, 66, , 92, 25, , 
2020/10/16, 70, , 88, 27, , 
2020/10/17, 70, , 64, 21, , 
2020/10/18, 65, , 65, 14, , 
2020/10/19, 74, , 50, 12, , 
2020/10/20, 70, , 57, 11, , 
2020/10/21, 76, , 52, 12, , 
2020/10/22, 94, , 35, 9, , 
2020/10/23, 67, , 36, 8, , 
2020/10/24, 56, , 30, 6, , 
2020/10/25, 48, , 29, 4, , 
2020/10/26, 36, , 42, 8, , 
2020/10/27, 49, , 45, 19, , 
2020/10/28, 65, , 52, 23, , 
2020/10/29, 73, , 42, 25, , 
2020/10/30, 67, , 44, 28, , 
2020/10/31, 64, , 46, 24, , 
2020/11/1, 71, , 44, 25, , 
2020/11/2, 75, , 2, 33, , 
2020/11/3, 78, , 44, 25, , 
2020/11/4, 99, , 56, 28, , 
2020/11/5, 80, , 30, 29, , 
2020/11/6, 53, , 32, 15, , 
2020/11/7, 56, , 35, 6, , 
2020/11/8, 36, , 32, 6, , 
2020/11/9, 45, , 27, 14, , 
2020/11/10, 38, , 31, 20, , 
2020/11/11, 47, , 31, 24, , 
2020/11/12, 61, , 37, 25, , 
2020/11/13, 66, , 35, 24, , 
2020/11/14, 67, , 36, 21, , 
2020/11/15, 77, , 38, 22, , 
2020/11/16, 56, , 31, 26, , 
2020/11/17, 43, , 33, 30, , 
2020/11/18, 56, , 26, 19, , 
2020/11/19, 63, , 28, 17, , 
2020/11/20, 58, , 29, 26, , 
2020/11/21, 62, , 32, 24, , 
2020/11/22, 65, , 35, 22, , 
2020/11/23, 74, , 26, 25, , 
2020/11/24, 87, , 35, 23, , 
2020/11/25, 73, , 38, 18, , 
2020/11/26, 66, , 32, 11, , 
2020/11/27, 49, , 25, 15, , 
2020/11/28, 38, , 29, 21, , 
2020/11/29, 51, , 30, 22, , 
2020/11/30, 56, , 26, 25, , 
2020/12/1, 48, , 25, 27, , 
2020/12/2, 49, , 27, 30, , 
2020/12/3, 53, , 27, 28, , 
2020/12/4, 54, , 29, 28, , 
2020/12/5, 52, , 23, 29, , 
2020/12/6, 68, , 32, 25, , 
2020/12/7, 73, , 28, 28, , 
2020/12/8, 64, , 22, 20, , 
2020/12/9, 40, , 25, 22, , 
2020/12/10, 51, , 31, 19, , 
2020/12/11, 58, , 30, 18, , 
2020/12/12, 70, , 29, 15, , 
2020/12/13, 62, , 30, 14, , 
2020/12/14, 49, , 28, 7, , 
2020/12/15, 30, , 27, 18, , 
2020/12/16, 36, , 25, 24, , 
2020/12/17, 49, , 31, 16, , 
2020/12/18, 51, , 26, 20, , 
2020/12/19, 53, , 27, 23, , 
2020/12/20, 60, , 33, 22, , 
2020/12/21, 51, , 32, 24, , 
2020/12/22, 48, , 24, 29, , 
2020/12/23, 67, , 18, 28, , 
2020/12/24, 89, , 8, 28, , 
2020/12/25, 68, , 32, 11, , 
2020/12/26, 53, , 30, 19, , 
2020/12/27, 72, , 28, 11, , 
2020/12/28, 64, , 28, 8, , 
2020/12/29, 36, , 28, 15, , 
2020/12/30, 46, , 23, 22, , 
2020/12/31, 43, , 30, 13, , 
2021/1/1, 43, , 32, 8, , 
2021/1/2, 35, , 24, 19, , 
2021/1/3, 62, , 27, 15, , 
2021/1/4, 69, , 23, 18, , 
2020/8/24, 75, , 36, 5, , 
2020/8/25, 62, , 44, 9, , 
2020/8/26, 59, , 42, 12, , 
2020/8/27, 54, , 55, 12, , 
2020/8/28, 67, , 49, 13, , 
2020/8/29, 62, , 45, 6, , 
2020/8/30, 53, , 47, 4, , 
2020/8/31, 54, , 44, 4, , 
2020/9/1, 49, , 46, 4, , 
2020/9/2, 55, , 48, 8, , 
2020/9/3, 54, , 64, 12, , 
2020/9/4, 61, , 95, 16, , 
2020/9/5, 77, , 97, 15, , 
2020/9/6, 68, , 91, 13, , 
2020/9/7, 62, , , , , 
2020/9/9, 61, , 36, 14, , 
2020/9/10, 61, , 16, 27, , 
2020/9/11, 78, , 43, 26, , 
2020/9/12, 111, , 38, 26, , 
2020/9/13, 132, , 78, 17, , 
2020/9/14, 132, , 91, 20, , 
2020/9/15, 145, , 75, 20, , 
2020/9/16, 135, , 53, 20, , 
2020/9/17, 72, , 57, 23, , 
2020/9/18, 61, , 83, 23, , 
2020/9/19, 75, , 58, 16, , 
2020/9/20, 65, , 68, 13, , 
2020/9/21, 76, , 59, 10, , 
2020/9/22, 72, , 60, 10, , 
2020/9/23, 69, , 65, 14, , 
2020/9/24, 66, , 66, 20, , 
2020/9/25, 69, , 58, 18, , 
2020/9/26, 73, , 64, 12, , 
2020/9/27, 73, , 57, 7, , 
2020/9/28, 71, , 75, 11, , 
2020/9/29, 66, , 78, 16, , 
2020/9/30, 60, , 71, 22, , 
2020/10/1, 58, , 89, 24, , 
2024/9/7, , , 79, , , 
2024/9/8, , , 71, , , 
2024/9/9, , , 47, 5, , 
2024/4/28, , , 45, 8, , 
2024/4/29, , , 39, 10, , 
2024/4/30, , , 46, 10, , 
2022/7/4, , , 41, 1, , 
2021/6/14, , , 47, 12, , 
2021/6/15, , , 71, 17, , 
2021/6/16, , , 49, 11, , 
2020/8/23, , , 41, 4, , 
2020/9/8, , , 23, 8, , 
