Country,City/station,"Annual mean PM10, ug/m3","Annual mean PM 2.5, ug/m3",year
United States of America,"Fort Payne, AL",15,9,2012
United States of America,"Fort Smith, AR-OK",17,10,2012
United States of America,"Fort Wayne, IN",23,14,2012
United States of America,"Fresno, CA",74,45,2012
United States of America,"Gadsden, AL",16,10,2012
United States of America,"Gainesville, FL",12,7,2012
United States of America,"Gainesville, GA",16,9,2012
United States of America,"Gettysburg, PA",18,11,2012
United States of America,"Gillette, WY",13,8,2012
United States of America,"Goldsboro, NC",21,13,2012
United States of America,"Grand Island, NE",13,8,2012
United States of America,"Grand Junction, CO",12,7,2012
United States of America,"Grand Rapids-Wyoming, MI",16,10,2012
United States of America,"Grants Pass, OR",12,7,2012
United States of America,"Greeley, CO",13,8,2012
United States of America,"Green Bay, WI",16,10,2012
United States of America,"Greensboro-High Point, NC",14,9,2012
United States of America,"Greenville, NC",13,8,2012
United States of America,"Greenville-Mauldin-Easley, SC",16,10,2012
United States of America,"Grenada, MS",16,9,2012
United States of America,"Gulfport-Biloxi, MS",16,10,2012
United States of America,"Hagerstown-Martinsburg, MD-WV",19,11,2012
United States of America,"Hammond, LA",15,9,2012
United States of America,"Hanford-Corcoran, CA",28,17,2012
United States of America,"Harriman, TN",22,13,2012
United States of America,"Harrisburg-Carlisle, PA",20,12,2012
United States of America,"Harrisonburg, VA",15,9,2012
United States of America,"Hartford-West Hartford-East Hartford, CT",14,9,2012
United States of America,"Hattiesburg, MS",18,11,2012
United States of America,"Helena, MT",16,9,2012
United States of America,"Helena-West Helena, AR",16,9,2012
United States of America,"Hickory-Lenoir-Morganton, NC",16,10,2012
United States of America,"Hilo, HI",27,16,2012
United States of America,"Hobbs, NM",13,8,2012
United States of America,"Holland-Grand Haven, MI",15,9,2012
United States of America,"Homosassa Springs, FL",11,7,2012
United States of America,"Honolulu, HI",12,7,2012
United States of America,"Hot Springs, AR",18,11,2012
United States of America,"Houma-Bayou Cane-Thibodaux, LA",13,8,2012
United States of America,"Houston-Sugar Land-Baytown, TX",21,13,2012
United States of America,"Huntington-Ashland, WV-KY-OH",19,11,2012
United States of America,"Huntsville, AL",16,9,2012
United States of America,"Indianapolis-Carmel, IN",25,15,2012
United States of America,"Iowa City, IA",16,10,2012
United States of America,"Jackson, MS",19,11,2012
United States of America,"Jackson, TN",15,9,2012
United States of America,"Jackson, WY-ID",11,6,2012
United States of America,"Jacksonville, FL",13,8,2012
United States of America,"Jamestown-Dunkirk-Fredonia, NY",13,8,2012
United States of America,"Jasper, IN",18,11,2012
United States of America,"Johnstown, PA",19,12,2012
United States of America,"Juneau, AK",11,6,2012
United States of America,"Kahului-Wailuku, HI",11,6,2012
United States of America,"Kalamazoo-Portage, MI",17,10,2012
United States of America,"Kalispell, MT",13,8,2012
United States of America,"Kansas City, MO-KS",24,15,2012
United States of America,"Kapaa, HI",11,7,2012
United States of America,"Keene, NH",16,10,2012
United States of America,"Kingsport-Bristol-Bristol, TN-VA",15,9,2012
United States of America,"Kinston, NC",13,8,2012
United States of America,"Klamath Falls, OR",18,11,2012
United States of America,"Knoxville, TN",18,11,2012
United States of America,"Kokomo, IN",16,10,2012
United States of America,"La Crosse, WI-MN",14,8,2012
United States of America,"Laconia, NH",11,7,2012
United States of America,"Lafayette, IN",24,14,2012
United States of America,"Lafayette, LA",18,11,2012
United States of America,"Lake Charles, LA",14,8,2012
United States of America,"Lake Havasu City-Kingman, AZ",6,4,2012
United States of America,"Lakeland-Winter Haven, FL",13,8,2012
United States of America,"Lancaster, PA",21,13,2012
United States of America,"Lansing-East Lansing, MI",14,9,2012
United States of America,"Laramie, WY",9,6,2012
United States of America,"Las Cruces, NM",25,15,2012
United States of America,"Las Vegas-Paradise, NV",20,12,2012
United States of America,"Laurel, MS",18,11,2012
United States of America,"Lawrenceburg, TN",14,8,2012
United States of America,"Lebanon, NH-VT",11,7,2012
United States of America,"Lebanon, PA",24,14,2012
United States of America,"Lewiston-Auburn, ME",13,8,2012
United States of America,"Lexington-Fayette, KY",16,10,2012
United States of America,"Lima, OH",17,10,2012
United States of America,"Lincoln, NE",14,9,2012
United States of America,"Little Rock-North Little Rock-Conway, AR",19,12,2012
United States of America,"Logan, UT-ID",15,9,2012
United States of America,"Los Angeles-Long Beach-Santa Ana, CA",33,20,2012
United States of America,"Louisville/Jefferson County, KY-IN",22,13,2012
United States of America,"Lumberton, NC",14,9,2012
United States of America,"Lynchburg, VA",13,8,2012
United States of America,"Macon, GA",19,12,2012
United States of America,"Madera, CA",27,16,2012
United States of America,"Madison, WI",16,9,2012
United States of America,"Manchester-Nashua, NH",14,8,2012
United States of America,"Marshall, MN",12,7,2012
United States of America,"Marshall, TX",17,10,2012
United States of America,"McAlester, OK",19,11,2012
United States of America,"McAllen-Edinburg-Mission, TX",18,11,2012
United States of America,"Medford, OR",15,9,2012
United States of America,"Memphis, TN-MS-AR",17,10,2012
United States of America,"Merced, CA",18,11,2012
United States of America,"Meridian, MS",17,10,2012
United States of America,"Miami-Fort Lauderdale-Pompano Beach, FL",14,8,2012
United States of America,"Michigan City-La Porte, IN",16,10,2012
United States of America,"Middlesborough, KY",17,10,2012
United States of America,"Milwaukee-Waukesha-West Allis, WI",18,11,2012
United States of America,"Minneapolis-St. Paul-Bloomington, MN-WI",17,10,2012
United States of America,"Missoula, MT",21,12,2012
United States of America,"Mobile, AL",15,9,2012
United States of America,"Modesto, CA",25,15,2012
United States of America,"Monroe, LA",22,13,2012
United States of America,"Monroe, MI",16,9,2012
United States of America,"Montgomery, AL",18,11,2012
United States of America,"Morgantown, WV",15,9,2012
United States of America,"Mount Vernon, IL",14,9,2012
United States of America,"Muncie, IN",16,10,2012
United States of America,"Muscatine, IA",18,11,2012
United States of America,"Muskegon-Norton Shores, MI",15,9,2012
United States of America,"Napa, CA",23,14,2012
United States of America,"Nashville-Davidson--Murfreesboro--Franklin, TN",17,10,2012
United States of America,"New Castle, IN",15,9,2012
United States of America,"New Haven-Milford, CT",15,9,2012
United States of America,"New Orleans-Metairie-Kenner, LA",21,13,2012
United States of America,"New York-Northern New Jersey-Long Island, NY-NJ-PA",23,14,2012
United States of America,"Niles-Benton Harbor, MI",14,9,2012
United States of America,"Nogales, AZ",16,10,2012
United States of America,"Norwich-New London, CT",13,8,2012
United States of America,"Ogden-Clearfield, UT",15,9,2012
United States of America,"Oklahoma City, OK",16,10,2012
United States of America,"Omaha-Council Bluffs, NE-IA",19,12,2012
United States of America,"Orlando-Kissimmee, FL",12,7,2012
United States of America,"Owensboro, KY",18,11,2012
United States of America,"Oxnard-Thousand Oaks-Ventura, CA",16,10,2012
United States of America,"Paducah, KY-IL",17,10,2012
United States of America,"Palm Bay-Melbourne-Titusville, FL",10,6,2012
United States of America,"Parkersburg-Marietta-Vienna, WV-OH",17,10,2012
United States of America,"Pascagoula, MS",15,9,2012
United States of America,"Pendleton-Hermiston, OR",12,7,2012
United States of America,"Pensacola-Ferry Pass-Brent, FL",14,8,2012
United States of America,"Peoria, IL",16,10,2012
United States of America,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",28,17,2012
United States of America,"Phoenix-Mesa-Scottsdale, AZ",26,16,2012
United States of America,"Pittsburgh, PA",25,15,2012
United States of America,"Pittsfield, MA",14,9,2012
United States of America,"Platteville, WI",15,9,2012
United States of America,"Pocatello, ID",15,9,2012
United States of America,"Ponca City, OK",17,10,2012
United States of America,"Portland-South Portland-Biddeford, ME",15,9,2012
United States of America,"Portland-Vancouver-Beaverton, OR-WA",12,7,2012
United States of America,"Portsmouth, OH",16,10,2012
United States of America,"Poughkeepsie-Newburgh-Middletown, NY",13,8,2012
United States of America,"Prescott, AZ",7,4,2012
United States of America,"Prineville, OR",14,9,2012
United States of America,"Providence-New Bedford-Fall River, RI-MA",18,11,2012
United States of America,"Provo-Orem, UT",14,8,2012
United States of America,"Pueblo, CO",11,7,2012
United States of America,"Quincy, IL-MO",16,10,2012
United States of America,"Raleigh-Cary, NC",16,9,2012
United States of America,"Rapid City, SD",11,6,2012
United States of America,"Reading, PA",19,11,2012
United States of America,"Red Bluff, CA",14,8,2012
United States of America,"Redding, CA",10,6,2012
United States of America,"Reno-Sparks, NV",15,9,2012
United States of America,"Richmond, VA",15,9,2012
United States of America,"Richmond-Berea, KY",15,9,2012
United States of America,"Riverside-San Bernardino-Ontario, CA",34,21,2012
United States of America,"Riverton, WY",13,8,2012
United States of America,"Roanoke, VA",15,9,2012
United States of America,"Rochester, MN",13,8,2012
United States of America,"Rochester, NY",14,9,2012
United States of America,"Rock Springs, WY",13,8,2012
United States of America,"Rockford, IL",16,9,2012
United States of America,"Rocky Mount, NC",13,8,2012
United States of America,"Rome, GA",18,11,2012
United States of America,"Russellville, AR",14,9,2012
United States of America,"Rutland, VT",15,9,2012
United States of America,"Sacramento--Arden-Arcade--Roseville, CA",15,9,2012
United States of America,"Salinas, CA",10,6,2012
United States of America,"Salisbury, NC",16,9,2012
United States of America,"Salt Lake City, UT",15,9,2012
United States of America,"San Antonio, TX",14,9,2012
United States of America,"San Diego-Carlsbad-San Marcos, CA",24,14,2012
United States of America,"San Francisco-Oakland-Fremont, CA",16,10,2012
United States of America,"San Jose-Sunnyvale-Santa Clara, CA",16,10,2012
United States of America,"San Luis Obispo-Paso Robles, CA",16,10,2012
United States of America,"Santa Barbara-Santa Maria-Goleta, CA",14,9,2012
United States of America,"Santa Cruz-Watsonville, CA",10,6,2012
United States of America,"Santa Fe, NM",8,5,2012
United States of America,"Santa Rosa-Petaluma, CA",14,8,2012
United States of America,"Sault Ste. Marie, MI",14,8,2012
United States of America,"Savannah, GA",17,10,2012
United States of America,"Scottsbluff, NE",9,6,2012
United States of America,"Scranton--Wilkes-Barre, PA",14,8,2012
United States of America,"Seaford, DE",14,8,2012
United States of America,"Seattle-Tacoma-Bellevue, WA",16,10,2012
United States of America,"Sheridan, WY",14,8,2012
United States of America,"Shreveport-Bossier City, LA",26,16,2012
United States of America,"Sierra Vista-Douglas, AZ",11,7,2012
United States of America,"Sioux City, IA-NE-SD",16,10,2012
United States of America,"Sioux Falls, SD",14,9,2012
United States of America,"Somerset, KY",16,10,2012
United States of America,"South Bend-Mishawaka, IN-MI",21,13,2012
United States of America,"Spartanburg, SC",16,10,2012
United States of America,"Spokane, WA",12,7,2012
United States of America,"Springfield, IL",16,10,2012
United States of America,"Springfield, MA",15,9,2012
United States of America,"Springfield, MO",17,10,2012
United States of America,"Springfield, OH",17,10,2012
United States of America,"St. Cloud, MN",14,8,2012
United States of America,"St. George, UT",11,7,2012
United States of America,"St. Joseph, MO-KS",20,12,2012
United States of America,"St. Louis, MO-IL",22,13,2012
United States of America,"State College, PA",19,11,2012
United States of America,"Stockton, CA",21,12,2012
United States of America,"Syracuse, NY",12,7,2012
United States of America,"Talladega-Sylacauga, AL",17,10,2012
United States of America,"Tallahassee, FL",14,9,2012
United States of America,"Tampa-St. Petersburg-Clearwater, FL",13,8,2012
United States of America,"Terre Haute, IN",19,12,2012
United States of America,"Texarkana, TX-Texarkana, AR",18,11,2012
United States of America,"Thomasville-Lexington, NC",17,10,2012
United States of America,"Toledo, OH",17,10,2012
United States of America,"Topeka, KS",14,9,2012
