City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Gettysburg (Pa),2013,,,4.1
Gettysburg (Pa),2014,,,4.3
Gettysburg (Pa),2016,,,2.3
Gettysburg (Pa),2019,,,3
Gillette (Wy),2010,,14.37,7.9
Gillette (Wy),2011,,12.92,4.4
Gillette (Wy),2012,,27.61,7.83
Gillette (Wy),2013,,9.5,7.95
Gillette (Wy),2014,,10.12,2.6
Gillette (Wy),2015,,15.82,2.4
Gillette (Wy),2016,,14.41,2.1
Gillette (Wy),2017,,16.22,
Gillette (Wy),2018,,17.08,2.7
Gillette (Wy),2019,,11.3,2.3
Glenwood Springs (Co),2010,,22.5,
Glenwood Springs (Co),2012,,11.25,
Glenwood Springs (Co),2013,,7.2,
Glenwood Springs (Co),2014,,8.1,
Glenwood Springs (Co),2015,,11.65,
Glenwood Springs (Co),2016,,9.8,
Glenwood Springs (Co),2017,,11.5,
Glenwood Springs (Co),2018,,11.2,
Glenwood Springs (Co),2019,,8.5,
Grand Island (Ne),2011,7,,
Grand Junction (Co),2010,9,23,
Grand Junction (Co),2013,8.8,,
Grand Junction (Co),2014,,18.3,
Grand Junction (Co),2015,,14.9,
Grand Junction (Co),2016,6.2,,
Grand Junction (Co),2017,,16.5,
Grand Rapids-Wyoming (Mi),2010,,13,
Grand Rapids-Wyoming (Mi),2013,,12.3,
Grand Rapids-Wyoming (Mi),2015,,17,
Grants Pass (Or),2017,12.8,,
Grants Pass (Or),2018,12.2,,
Grantsville (Na),2017,5.9,,
Greeley (Co),2010,7.3,,
Greeley (Co),2011,7.4,,
Greeley (Co),2012,7.8,,
Greeley (Co),2018,,22.8,
Greenville-Anderson-Mauldin (Sc),2010,,,20.2
Greenville-Anderson-Mauldin (Sc),2014,,,17.8
Greenville-Anderson-Mauldin (Sc),2018,,12.1,
Greenville-Anderson-Mauldin (Sc),2019,,,15.6
Gulfport-Biloxi-Pascagoula (Ms),2010,,,10.4
Gulfport-Biloxi-Pascagoula (Ms),2011,,,9
Gulfport-Biloxi-Pascagoula (Ms),2012,,,7.6
Gulfport-Biloxi-Pascagoula (Ms),2013,,,7.8
Gulfport-Biloxi-Pascagoula (Ms),2014,,,8.3
Gulfport-Biloxi-Pascagoula (Ms),2017,,,7.6
Hamilton (Na),2012,16.6,,
Hamilton (Na),2017,14.8,,
Hammond (La),2011,9.3,,
Hanford-Corcoran (Ca),2010,14.5,31.6,
Hanford-Corcoran (Ca),2011,18,36.3,17.6
Hanford-Corcoran (Ca),2012,14.8,,
Hanford-Corcoran (Ca),2013,18.2,49.6,19.3
Hanford-Corcoran (Ca),2014,17.5,46.5,18.4
Hanford-Corcoran (Ca),2015,16.5,44.1,17.4
Hanford-Corcoran (Ca),2016,15.5,43.4,
Hanford-Corcoran (Ca),2017,17.2,46,
Hanford-Corcoran (Ca),2018,,47.3,16.5
Hanford-Corcoran (Ca),2019,12.2,44.4,15.8
Harrisburg-Carlisle (Pa),2012,,15.5,
Harrisburg-Carlisle (Pa),2015,,17.9,
Harrisonburg (Va),2010,,,19.6
Harrisonburg (Va),2011,,,17.5
Harrisonburg (Va),2015,,,15.8
Harrisonburg (Va),2016,,,15.2
Hartford-West Hartford-East Hartford (Ct),2010,,10.4,18.1
Hartford-West Hartford-East Hartford (Ct),2011,,11.1,21
Hartford-West Hartford-East Hartford (Ct),2012,,10.5,16.7
Hartford-West Hartford-East Hartford (Ct),2013,,11.7,
Hartford-West Hartford-East Hartford (Ct),2014,,9.8,
Hartford-West Hartford-East Hartford (Ct),2016,,9.8,16.9
Hartford-West Hartford-East Hartford (Ct),2017,,9.3,
Hartford-West Hartford-East Hartford (Ct),2018,6.8,9.8,
Hartford-West Hartford-East Hartford (Ct),2019,,8.6,
Helena (Mt),2011,3.8,,
Helena (Mt),2012,5.4,,
Helena (Mt),2013,4.4,,
Helena (Mt),2014,3.1,,
Helena (Mt),2015,4.5,,
Helena (Mt),2017,12.4,,
Hilo (Hi),2010,18.2,,
Hilo (Hi),2011,5.3,,
Hilo (Hi),2012,11.43,,
Hilo (Hi),2013,5.4,,
Hilo (Hi),2014,4.2,,
Hilo (Hi),2015,12.9,,
Hilo (Hi),2016,14,,
Hilo (Hi),2018,3.8,,
Hilo (Hi),2019,2.7,,
Hobbs (Nm),2011,,,11.7
Hobbs (Nm),2013,,,7.9
Hobbs (Nm),2017,,,7.9
Holland (Mi),2011,8.4,,
Hot Springs (Ar),2013,9.4,,
Hot Springs (Ar),2015,8.5,,
Hot Springs (Ar),2017,8.4,,
Houston-The Woodlands-Sugar Land (Tx),2010,,35.1,13.64
Houston-The Woodlands-Sugar Land (Tx),2011,,33.4,12.59
Houston-The Woodlands-Sugar Land (Tx),2012,,38.5,14.39
Houston-The Woodlands-Sugar Land (Tx),2013,,30.8,12.09
Houston-The Woodlands-Sugar Land (Tx),2014,11.6,28.97,11.7
Houston-The Woodlands-Sugar Land (Tx),2015,,28.8,10
Houston-The Woodlands-Sugar Land (Tx),2016,,24.2,14.77
Houston-The Woodlands-Sugar Land (Tx),2017,,26.9,11.07
Houston-The Woodlands-Sugar Land (Tx),2018,,,10.88
Houston-The Woodlands-Sugar Land (Tx),2019,,28,13.26
Huntington-Ashland (Wv-Ky-Oh),2011,,28.1,13.5
Huntington-Ashland (Wv-Ky-Oh),2012,,23.35,11.7
Huntington-Ashland (Wv-Ky-Oh),2013,,22.4,10.5
Huntington-Ashland (Wv-Ky-Oh),2014,,19.1,11.1
Huntington-Ashland (Wv-Ky-Oh),2015,,,11.3
Huntington-Ashland (Wv-Ky-Oh),2016,,21.9,9.2
Huntington-Ashland (Wv-Ky-Oh),2017,,,8
Huntington-Ashland (Wv-Ky-Oh),2018,,11,9
Huntington-Ashland (Wv-Ky-Oh),2019,,14.05,9.2
Huntsville (Al),2010,,17.38,
Huntsville (Al),2011,11.3,16.15,
Huntsville (Al),2012,9.3,14.85,
Huntsville (Al),2013,,14.1,
Huntsville (Al),2014,9,14.25,
Huntsville (Al),2015,8.2,16.5,
Huntsville (Al),2016,7.6,15.35,
Huntsville (Al),2017,7.5,12.47,
Huntsville (Al),2018,7.4,13.8,
Huntsville (Al),2019,,13.82,
Indianapolis-Carmel-Anderson (In),2010,14.03,,
Indianapolis-Carmel-Anderson (In),2011,13.9,22.95,
Indianapolis-Carmel-Anderson (In),2012,11.1,29.6,
Indianapolis-Carmel-Anderson (In),2013,,24.5,
Indianapolis-Carmel-Anderson (In),2014,12.13,26.2,
Indianapolis-Carmel-Anderson (In),2015,10.63,27.3,
Indianapolis-Carmel-Anderson (In),2016,9.2,16.1,
Indianapolis-Carmel-Anderson (In),2018,,16.1,
Indianapolis-Carmel-Anderson (In),2019,9.7,26.2,
Interior Township,2010,3.9,7.6,
Interior Township,2011,3.4,8.3,
Interior Township,2012,4.1,11,1.8
Interior Township,2013,,,1.9
Interior Township,2014,4.3,8.5,
Interior Township,2016,2.5,9.4,0.8
Interior Township,2017,3.6,,
Interior Township,2018,,9.5,
Interior Township,2019,,,1.7
Iowa City (Ia),2010,11.5,22.7,
Iowa City (Ia),2013,,19,
Iowa City (Ia),2014,,19.4,
Iowa City (Ia),2015,,18.7,
Iowa City (Ia),2016,,16.9,
Jackson (Wy-Id),2017,,11.1,
Jacksonville (Fl),2010,,20.6,
Jacksonville (Fl),2011,,,15.8
Jacksonville (Fl),2012,,19.1,15.2
Jacksonville (Fl),2013,,19.1,14.6
Jacksonville (Fl),2014,,15.8,
Jacksonville (Fl),2016,,,13.6
Jacksonville (Fl),2017,,,13
Jacksonville (Fl),2018,,,12.9
Jacksonville (Fl),2019,,19.6,12.3
Jasper (In),2010,,20.9,
Jasper (In),2011,,18.2,
Jasper (In),2013,10.9,,
Jasper (In),2014,11.1,17.1,
Jasper (In),2016,,15,
Jasper (In),2018,8.9,,
Jefferson Township,2015,,12.7,
Jefferson Township,2016,,10.9,
Jefferson Township,2017,,12.9,
Johnstown (Pa),2010,,,19.7
Johnstown (Pa),2012,,,16
Johnstown (Pa),2013,,,14.7
Johnstown (Pa),2015,11.7,,
Johnstown (Pa),2016,,,12.6
Johnstown (Pa),2017,11.8,,10.8
Joplin (Mo),2011,,30.4,
Joplin (Mo),2014,,29.5,
Joplin (Mo),2015,,28.5,
Joplin (Mo),2019,,22.4,
Juneau (Ak),2010,8.8,9,
Juneau (Ak),2011,7.1,7.5,
Juneau (Ak),2012,6.4,6.9,
Juneau (Ak),2013,5.9,8.3,
Juneau (Ak),2014,7.7,9.6,
Juneau (Ak),2015,6.6,7,
Juneau (Ak),2016,6,8.4,
Juneau (Ak),2017,5.6,6.7,
Juneau (Ak),2018,6.9,,
Juneau (Ak),2019,6.8,,
Kahului-Wailuku-Lahaina (Hi),2010,4.8,,
Kahului-Wailuku-Lahaina (Hi),2016,3.7,,
Kahului-Wailuku-Lahaina (Hi),2017,4.1,,
Kahului-Wailuku-Lahaina (Hi),2019,4.1,,
Kalispell (Mt),2012,,13.7,
Kalispell (Mt),2013,,13,
Kalispell (Mt),2014,,22.5,
Kalispell (Mt),2015,,30.7,
Kalispell (Mt),2016,,17.3,
Kalispell (Mt),2017,,22.45,
Kalispell (Mt),2018,,26.1,
Kansas City (Mo-Ks),2010,,,26.4
Kansas City (Mo-Ks),2012,,,23.1
Kansas City (Mo-Ks),2013,,,23.4
Kansas City (Mo-Ks),2014,10.5,,23.05
Kansas City (Mo-Ks),2016,5.1,,21.9
Kansas City (Mo-Ks),2017,9.9,,22.1
Kansas City (Mo-Ks),2018,,,21.7
Kansas City (Mo-Ks),2019,,,20.5
Kapaa (Hi),2013,3.9,,4.2
Kapaa (Hi),2014,,,4.5
Kapaa (Hi),2015,3.2,,4.3
Kapaa (Hi),2016,3.5,,
Kapaa (Hi),2017,2.6,,3.5
Kapaa (Hi),2018,,,8.6
Kapaa (Hi),2019,2.9,,8
Keene (Nh),2018,5.3,,
Kemmerer,2011,,12.8,
Kemmerer,2012,,26.3,
Kemmerer,2014,,11.3,
Kemmerer,2015,,11.6,
Kemmerer,2017,,14.4,
Klamath Falls (Or),2013,13,,
Klamath Falls (Or),2017,11.7,,
Klamath Falls (Or),2018,18.6,,
Laconia (Nh),2017,4.6,,
Laconia (Nh),2019,3.6,,
Lafayette (La),2011,,19.4,
Lafayette (La),2014,,20.5,
Lafayette (La),2019,,14.9,
Lafayette-West Lafayette (In),2010,12,,
Lake Charles (La),2010,,,12.6
Lake Charles (La),2011,,,12.1
Lake Charles (La),2013,,,9.2
Lake Charles (La),2015,,,11.9
Lake Charles (La),2017,,,11
Lake Havasu City-Kingman (Az),2012,,21.3,
Lake Havasu City-Kingman (Az),2013,,20.8,
Lake Havasu City-Kingman (Az),2014,,20.6,
Lake Havasu City-Kingman (Az),2016,,22.4,
Lake Havasu City-Kingman (Az),2017,,19.2,
Lake Havasu City-Kingman (Az),2018,,19.9,
Lake Havasu City-Kingman (Az),2019,,16,
Lakeland-Winter Haven (Fl),2016,,14.2,
Lamar,2011,,21.3,
Lamar,2012,,24.6,
Lamar,2013,,32,
Lamar,2014,,31.4,
Lamar,2019,,17.6,
Lame Deer,2011,,,6.4
Lame Deer,2012,,,4.3
Lame Deer,2013,,,3.4
Lame Deer,2014,,,3.2
Lame Deer,2015,,,1.7
Lame Deer,2017,,,1
Lancaster (Pa),2010,,15.9,
Laramie (Wy),2011,,21.6,
Laramie (Wy),2012,,31.8,
Laramie (Wy),2013,4.6,,
Laramie (Wy),2016,3.9,,
Laramie (Wy),2018,,24.7,
Laramie (Wy),2019,,13.5,
Laredo (Tx),2017,,18.2,
Las Cruces (Nm),2010,,28.5,12.7
Las Cruces (Nm),2011,,41.3,8.4
Las Cruces (Nm),2012,,,8.6
Las Cruces (Nm),2013,,37.3,
Las Cruces (Nm),2014,5.3,29.1,
Las Cruces (Nm),2015,4.7,19.6,10.75
Las Cruces (Nm),2016,,,8.6
Las Cruces (Nm),2017,,,10
Las Cruces (Nm),2018,,26,11.55
Las Cruces (Nm),2019,,24.4,11.35
Las Vegas-Henderson-Paradise (Nv),2010,3.4,12.68,25
Las Vegas-Henderson-Paradise (Nv),2011,5.5,15.35,24.8
Las Vegas-Henderson-Paradise (Nv),2012,5,15.3,18
Las Vegas-Henderson-Paradise (Nv),2013,,18.27,8.9
Las Vegas-Henderson-Paradise (Nv),2014,,20.28,
Las Vegas-Henderson-Paradise (Nv),2015,,16.8,27
Las Vegas-Henderson-Paradise (Nv),2016,,21.37,30.2
Las Vegas-Henderson-Paradise (Nv),2017,,26.15,31.7
Las Vegas-Henderson-Paradise (Nv),2018,,20,16.4
Las Vegas-Henderson-Paradise (Nv),2019,,18,16
Lebanon (Pa),2012,14.2,,
Lewiston-Auburn (Me),2010,,13.3,
Lewiston-Auburn (Me),2011,,14.2,
Lewiston-Auburn (Me),2013,,15.6,
Lewiston-Auburn (Me),2019,,10.6,
Lewistown,2012,,5,
Lewistown,2013,,7.8,
Lewistown,2014,,7.4,
Lewistown,2015,,9.1,
Lewistown,2016,,9.3,
Lewistown,2017,,10.9,
Lewistown,2018,,10,
Lewistown,2019,,7.8,
Lexington-Fayette (Ky),2010,,,17.8
Lexington-Fayette (Ky),2012,,,15.1
Lexington-Fayette (Ky),2013,,15.7,13.8
Lexington-Fayette (Ky),2014,,,12.7
Lexington-Fayette (Ky),2016,,14.3,12.4
Lexington-Fayette (Ky),2017,,14.6,9
Lexington-Fayette (Ky),2018,,,5.6
Lexington-Fayette (Ky),2019,,12.8,11.6
Libby (Na),2015,14.9,25,
Libby (Na),2017,14.3,,
Libby (Na),2018,,19.2,
Little Rock-North Little Rock-Conway (Ar),2010,12.3,20.5,
Little Rock-North Little Rock-Conway (Ar),2011,12.25,21.7,
Little Rock-North Little Rock-Conway (Ar),2012,,19.35,19.9
Little Rock-North Little Rock-Conway (Ar),2013,10.7,18.9,18.4
Little Rock-North Little Rock-Conway (Ar),2014,10.5,18.25,16.7
Little Rock-North Little Rock-Conway (Ar),2015,9.95,18.85,16.2
Little Rock-North Little Rock-Conway (Ar),2016,9.4,18.35,14.9
Little Rock-North Little Rock-Conway (Ar),2017,9.2,,14.3
Little Rock-North Little Rock-Conway (Ar),2018,9.5,17.7,13.7
Little Rock-North Little Rock-Conway (Ar),2019,9.9,16.1,14.8
Longview (Tx),2010,,,12.3
Longview (Tx),2011,,,10.4
Longview (Tx),2013,,,8.8
Longview (Tx),2014,,,7.6
Longview (Tx),2017,,,6.4
Longview (Tx),2019,,,6.1
Los Angeles-Long Beach-Anaheim (Ca),2010,10.62,25.03,34.85
Los Angeles-Long Beach-Anaheim (Ca),2011,11.06,24.68,35.16
Los Angeles-Long Beach-Anaheim (Ca),2012,11.08,25.8,31.02
Los Angeles-Long Beach-Anaheim (Ca),2013,10.2,26.05,30.62
Los Angeles-Long Beach-Anaheim (Ca),2014,,28.18,29.61
Los Angeles-Long Beach-Anaheim (Ca),2015,10.02,26.44,28.47
Los Angeles-Long Beach-Anaheim (Ca),2016,10.11,26.44,27.67
Los Angeles-Long Beach-Anaheim (Ca),2017,10.64,25.44,26.81
Los Angeles-Long Beach-Anaheim (Ca),2018,11.36,25.99,26.03
Los Angeles-Long Beach-Anaheim (Ca),2019,8.99,21.57,23.99
Louisville/Jefferson County (Ky-In),2010,14.7,21.9,
Louisville/Jefferson County (Ky-In),2011,12.9,,
Louisville/Jefferson County (Ky-In),2012,12.3,20.6,
Louisville/Jefferson County (Ky-In),2013,,17,
Louisville/Jefferson County (Ky-In),2014,11.9,,
Louisville/Jefferson County (Ky-In),2017,,16.9,
Louisville/Jefferson County (Ky-In),2018,,15.75,
Macon (Ga),2011,14.2,,
Macon (Ga),2016,9.7,,
Madawaska (Census Name For Madawaska Center) (Na),2013,,16,
Madawaska (Census Name For Madawaska Center) (Na),2014,,12.7,
Madawaska (Census Name For Madawaska Center) (Na),2018,,18.4,
Madawaska (Census Name For Madawaska Center) (Na),2019,,12.6,
Madera (Ca),2010,,42,14.7
Madera (Ca),2011,20.4,,15
Madera (Ca),2012,16,36.4,
Madera (Ca),2013,17.8,36.5,
Madera (Ca),2014,14,35.1,11.6
Madera (Ca),2015,13.8,31.9,11.2
Madera (Ca),2016,12,,10.3
Madera (Ca),2017,12.5,34.2,12.1
Madera (Ca),2018,14,40.4,11.3
Madera (Ca),2019,,35.6,11.3
Madison (Wi),2012,,16.1,
Malone (Ny),2010,,,3.9
Malone (Ny),2011,,,7.2
Malone (Ny),2012,,,9.5
Malone (Ny),2015,,,5.1
Malone (Ny),2016,,,7.3
Malone (Ny),2017,,,3.1
Manchester-Nashua (Nh),2016,4.2,,
Manchester-Nashua (Nh),2017,2.9,,
Manchester-Nashua (Nh),2018,3.2,,
Marshall (Mn),2016,4.4,,
Marshall (Mn),2017,5,,
Marshall (Tx),2011,,,7.9
Marshall (Tx),2012,,,7
Marshall (Tx),2016,,,4.2
Marshall (Tx),2018,,,3.3
Marshall (Tx),2019,,,4.6
Mason City (Ia),2012,,21.4,
Mason City (Ia),2015,,18.1,
Mason City (Ia),2016,,18.5,
Mason City (Ia),2017,,17.8,
Mason City (Ia),2018,,19.4,
Mason City (Ia),2019,,16.7,
Mcallen-Edinburg-Mission (Tx),2013,,32.6,
Mcallen-Edinburg-Mission (Tx),2015,,26.5,
Mcallen-Edinburg-Mission (Tx),2016,,26.8,
Mcallen-Edinburg-Mission (Tx),2017,,24.8,
Mcallen-Edinburg-Mission (Tx),2019,,23.5,
Medford (Or),2013,14.2,,
Medford (Or),2017,15.3,,
Memphis (Tn-Ms-Ar),2010,,,19.3
Memphis (Tn-Ms-Ar),2011,,,18.8
Memphis (Tn-Ms-Ar),2012,,,17.4
Memphis (Tn-Ms-Ar),2013,10,,15.6
Memphis (Tn-Ms-Ar),2014,,,14.6
Memphis (Tn-Ms-Ar),2015,,,13.3
Memphis (Tn-Ms-Ar),2016,,,13.8
Memphis (Tn-Ms-Ar),2017,,,13.4
Memphis (Tn-Ms-Ar),2018,,,13.3
Memphis (Tn-Ms-Ar),2019,,,14.2
Merced (Ca),2010,16.3,,12.9
Merced (Ca),2011,15.6,29.3,13.2
Merced (Ca),2012,,28.1,13.9
Merced (Ca),2013,13.5,,14.3
Merced (Ca),2014,11.2,30.5,14.9
Merced (Ca),2015,12.65,30.2,13
Merced (Ca),2016,11.55,28.4,
Merced (Ca),2017,12.6,34.7,
Merced (Ca),2018,14.65,33.8,13.5
Merced (Ca),2019,9.1,28.8,11.8
Miami (Ok),2013,,13.6,
Miami-Fort Lauderdale-West Palm Beach (Fl),2010,6.4,,
Miami-Fort Lauderdale-West Palm Beach (Fl),2011,,,8.05
Miami-Fort Lauderdale-West Palm Beach (Fl),2012,,24.9,10.27
Miami-Fort Lauderdale-West Palm Beach (Fl),2013,,,5.7
Miami-Fort Lauderdale-West Palm Beach (Fl),2014,6.55,,12.27
Miami-Fort Lauderdale-West Palm Beach (Fl),2015,6.9,21.7,6.6
Miami-Fort Lauderdale-West Palm Beach (Fl),2016,,23.6,5.5
Miami-Fort Lauderdale-West Palm Beach (Fl),2017,,23.2,10.47
Miami-Fort Lauderdale-West Palm Beach (Fl),2018,6.7,,9.83
Miami-Fort Lauderdale-West Palm Beach (Fl),2019,,,7.95
Milwaukee-Waukesha-West Allis (Wi),2010,,23.6,
Milwaukee-Waukesha-West Allis (Wi),2012,,23.3,21.6
Milwaukee-Waukesha-West Allis (Wi),2017,,13.8,16.9
Milwaukee-Waukesha-West Allis (Wi),2018,,16.2,
Milwaukee-Waukesha-West Allis (Wi),2019,,,16.7
Minneapolis-St. Paul-Bloomington (Mn-Wi),2010,,24.2,17.9
Minneapolis-St. Paul-Bloomington (Mn-Wi),2011,,27.1,13.4
Minneapolis-St. Paul-Bloomington (Mn-Wi),2012,,23.48,20.1
Minneapolis-St. Paul-Bloomington (Mn-Wi),2013,,21.3,16.3
Minneapolis-St. Paul-Bloomington (Mn-Wi),2014,,21.2,15.35
Minneapolis-St. Paul-Bloomington (Mn-Wi),2015,,21.82,13.8
Minneapolis-St. Paul-Bloomington (Mn-Wi),2016,,18.55,11.6
Minneapolis-St. Paul-Bloomington (Mn-Wi),2017,,26.8,
Minneapolis-St. Paul-Bloomington (Mn-Wi),2018,,24.13,12.57
Minneapolis-St. Paul-Bloomington (Mn-Wi),2019,,21.87,
Missoula (Mt),2010,,16.8,
Missoula (Mt),2015,12.2,22.6,
Missoula (Mt),2019,,16.9,
Mobile (Al),2010,9.8,,
Mobile (Al),2015,8.4,,
Mobile (Al),2016,8.1,,
Mobile (Al),2018,8.1,,
Modesto (Ca),2010,12.7,23.9,
Modesto (Ca),2011,15.9,,20.3
Modesto (Ca),2012,,,21.1
Modesto (Ca),2013,14.65,35,
Modesto (Ca),2014,11.85,25.6,19.1
Modesto (Ca),2015,14.2,32.1,17.3
Modesto (Ca),2016,,29.2,
Modesto (Ca),2017,12.8,,18.4
Modesto (Ca),2018,16.2,36.3,
Modesto (Ca),2019,,29.7,16.3
Monroe (La),2010,9.5,,
Montgomery (Al),2010,11.2,,
Montgomery (Al),2012,10.7,,
Montgomery (Al),2013,9.3,,
Montgomery (Al),2015,8.9,,
Montgomery (Al),2018,8.4,,
Montgomery (Al),2019,9,,
Muncie (In),2011,11.1,,
Muncie (In),2013,9.8,,
Muscatine (Ia),2010,,25.2,
Muscatine (Ia),2011,,23.5,
Muscatine (Ia),2012,,22.6,
Muscatine (Ia),2017,,18.7,
Muscatine (Ia),2018,,18.6,
Muskogee (Ok),2010,,30.8,
Muskogee (Ok),2011,,33.6,
Muskogee (Ok),2012,,28.9,
Muskogee (Ok),2014,,31.1,
Muskogee (Ok),2015,,23.4,
Muskogee (Ok),2016,,20.2,
Muskogee (Ok),2019,,30.6,
Napa (Ca),2010,,,16
Napa (Ca),2011,,,15.9
Napa (Ca),2012,,,14.9
Napa (Ca),2013,,,16.9
Napa (Ca),2015,,,14.3
Napa (Ca),2016,,,13.2
Napa (Ca),2017,,,13.7
Nashville-Davidson--Murfreesboro--Franklin (Tn),2011,,,21.8
Nashville-Davidson--Murfreesboro--Franklin (Tn),2012,,,22.4
Nashville-Davidson--Murfreesboro--Franklin (Tn),2018,,,14.7
New Haven-Milford (Ct),2010,9.05,,25.5
New Haven-Milford (Ct),2011,,,29
New Haven-Milford (Ct),2012,,,25.1
New Haven-Milford (Ct),2013,,,25.6
New Haven-Milford (Ct),2014,,,24.4
New Haven-Milford (Ct),2015,7.9,,26
New Haven-Milford (Ct),2016,,13.2,25.5
New Haven-Milford (Ct),2017,,11.9,24.5
New Haven-Milford (Ct),2018,,11.6,23.1
New Haven-Milford (Ct),2019,,,21.6
New Orleans-Metairie (La),2010,,26.6,14.6
New Orleans-Metairie (La),2011,,25.2,14.8
New Orleans-Metairie (La),2012,,,14.6
New Orleans-Metairie (La),2013,,18.65,
New Orleans-Metairie (La),2014,,19.2,12.6
New Orleans-Metairie (La),2016,,,12.5
New Orleans-Metairie (La),2017,,,11.3
New Orleans-Metairie (La),2018,,19.3,
New Orleans-Metairie (La),2019,,17.4,
New York-Newark-Jersey City (Ny-Nj-Pa),2010,,,37.4
New York-Newark-Jersey City (Ny-Nj-Pa),2011,,,35.32
New York-Newark-Jersey City (Ny-Nj-Pa),2012,,29.1,28.28
New York-Newark-Jersey City (Ny-Nj-Pa),2013,,,29.6
New York-Newark-Jersey City (Ny-Nj-Pa),2014,,,31.58
New York-Newark-Jersey City (Ny-Nj-Pa),2015,,,27.7
New York-Newark-Jersey City (Ny-Nj-Pa),2016,,,25.77
New York-Newark-Jersey City (Ny-Nj-Pa),2017,,,26.98
New York-Newark-Jersey City (Ny-Nj-Pa),2018,,,20.78
New York-Newark-Jersey City (Ny-Nj-Pa),2019,,,29.8
Newport,2018,7.9,,
Nogales (Az),2010,,65.3,
Nogales (Az),2011,9.7,53.8,
Nogales (Az),2012,,47.7,
Nogales (Az),2013,8.9,45.8,
Nogales (Az),2014,9.5,39.9,
Nogales (Az),2015,,31.2,
Nogales (Az),2016,9.8,38,
Nogales (Az),2017,,36.4,
Nogales (Az),2018,,34,
Nogales (Az),2019,8.8,31.8,
North Port-Sarasota-Bradenton (Fl),2012,7.1,14.6,
North Port-Sarasota-Bradenton (Fl),2013,,15.9,
North Port-Sarasota-Bradenton (Fl),2014,6.7,15.3,
North Port-Sarasota-Bradenton (Fl),2018,6.6,,
Ogden-Clearfield (Ut),2010,,17.9,29.15
Ogden-Clearfield (Ut),2011,,,30.2
Ogden-Clearfield (Ut),2012,,17.4,30
Ogden-Clearfield (Ut),2013,,,30.7
Ogden-Clearfield (Ut),2014,,,29.9
Ogden-Clearfield (Ut),2015,,,27.8
Ogden-Clearfield (Ut),2017,,20.1,21.7
Ogden-Clearfield (Ut),2018,,,26.85
Ogden-Clearfield (Ut),2019,,13.8,21.7
Oklahoma City (Ok),2010,,,16.8
Oklahoma City (Ok),2011,,20.6,18.6
Oklahoma City (Ok),2015,,,13.1
Oklahoma City (Ok),2017,,,12.5
Oklahoma City (Ok),2018,,,12.3
Omaha-Council Bluffs (Ne-Ia),2010,,31.73,
Omaha-Council Bluffs (Ne-Ia),2011,,29.38,
Omaha-Council Bluffs (Ne-Ia),2012,,34.98,
Omaha-Council Bluffs (Ne-Ia),2013,,23.47,
Omaha-Council Bluffs (Ne-Ia),2014,7.4,24.7,
Omaha-Council Bluffs (Ne-Ia),2015,,25.7,
Omaha-Council Bluffs (Ne-Ia),2016,,24.1,
Omaha-Council Bluffs (Ne-Ia),2017,,27.5,
Omaha-Council Bluffs (Ne-Ia),2018,,22.25,
Omaha-Council Bluffs (Ne-Ia),2019,,19.2,
Orlando-Kissimmee-Sanford (Fl),2010,,14.9,10.6
Orlando-Kissimmee-Sanford (Fl),2011,,14.95,10.1
Orlando-Kissimmee-Sanford (Fl),2012,7.7,15.2,
Orlando-Kissimmee-Sanford (Fl),2013,,14.3,8.5
Orlando-Kissimmee-Sanford (Fl),2014,6.4,,9.3
Orlando-Kissimmee-Sanford (Fl),2015,,12.3,7.7
Orlando-Kissimmee-Sanford (Fl),2016,,11.9,7.7
Orlando-Kissimmee-Sanford (Fl),2017,6.3,13.4,7.7
Orlando-Kissimmee-Sanford (Fl),2018,,14.4,
Orlando-Kissimmee-Sanford (Fl),2019,6.9,14.6,7.5
Owensboro (Ky),2010,,,13.3
Owensboro (Ky),2012,,,11.3
Owensboro (Ky),2013,,,9.1
Owensboro (Ky),2014,,,10
Owensboro (Ky),2015,,,8.1
Owensboro (Ky),2016,,,7.9
Oxnard-Thousand Oaks-Ventura (Ca),2010,8.6,,13.4
Oxnard-Thousand Oaks-Ventura (Ca),2011,8.7,,
Oxnard-Thousand Oaks-Ventura (Ca),2012,,,15.85
Oxnard-Thousand Oaks-Ventura (Ca),2013,,25.55,14.55
Oxnard-Thousand Oaks-Ventura (Ca),2014,,24.5,16.6
Oxnard-Thousand Oaks-Ventura (Ca),2015,,23.15,13.65
Oxnard-Thousand Oaks-Ventura (Ca),2017,13.7,29.1,10.1
Oxnard-Thousand Oaks-Ventura (Ca),2018,10.2,,10.1
Oxnard-Thousand Oaks-Ventura (Ca),2019,4.7,20,8.7
Paducah (Ky-Il),2012,,,12
Paducah (Ky-Il),2013,,,10.7
Paducah (Ky-Il),2014,,,10.8
Paducah (Ky-Il),2016,,,9.1
Paducah (Ky-Il),2018,,,8.8
Pagosa Springs,2010,,24.3,
Pagosa Springs,2011,,20.7,
Pagosa Springs,2012,,23.1,
Pagosa Springs,2014,,19.7,
Pagosa Springs,2016,,20,
Pagosa Springs,2017,,21,
Pagosa Springs,2018,,18.2,
Pagosa Springs,2019,,18.6,
Pahrump (Nv),2010,,26.15,
Pahrump (Nv),2011,,16.45,
Pahrump (Nv),2012,,20.2,
Pahrump (Nv),2013,,23.1,
