City or Locality,Measurement Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
Charleston-North Charleston (Sc),2011,,,12.4
Charleston-North Charleston (Sc),2012,,,12.7
Charleston-North Charleston (Sc),2013,,,12.5
Charleston-North Charleston (Sc),2014,,,7.65
Charleston-North Charleston (Sc),2015,,,11
Charleston-North Charleston (Sc),2016,,,6.3
Charleston-North Charleston (Sc),2017,,,7.85
Charleston-North Charleston (Sc),2018,,,2.4
Charleston-North Charleston (Sc),2019,,,11.7
Charlotte-Concord-Gastonia (Nc-Sc),2010,,,22.1
Charlotte-Concord-Gastonia (Nc-Sc),2011,,15.9,
Charlotte-Concord-Gastonia (Nc-Sc),2013,,,15.9
Charlotte-Concord-Gastonia (Nc-Sc),2014,,,16
Charlotte-Concord-Gastonia (Nc-Sc),2015,,16.9,15.2
Charlotte-Concord-Gastonia (Nc-Sc),2017,,11.5,
Charlotte-Concord-Gastonia (Nc-Sc),2018,,,11.8
Cheyenne (Wy),2011,4.35,11.6,
Cheyenne (Wy),2012,,13.5,7.1
Cheyenne (Wy),2013,3.25,10,
Cheyenne (Wy),2014,,,6.8
Cheyenne (Wy),2015,,9.4,
Cheyenne (Wy),2017,3.4,,6.9
Cheyenne (Wy),2018,4.7,,7
Cheyenne (Wy),2019,,10,
Chicago-Naperville-Elgin (Il-In-Wi),2010,14.63,22.65,37.33
Chicago-Naperville-Elgin (Il-In-Wi),2011,13.4,22.98,34.38
Chicago-Naperville-Elgin (Il-In-Wi),2012,12.03,23.85,35
Chicago-Naperville-Elgin (Il-In-Wi),2013,12.2,27.2,34.98
Chicago-Naperville-Elgin (Il-In-Wi),2014,12,24.03,32.2
Chicago-Naperville-Elgin (Il-In-Wi),2015,10.75,26.8,27.2
Chicago-Naperville-Elgin (Il-In-Wi),2016,,21.77,26.64
Chicago-Naperville-Elgin (Il-In-Wi),2017,,21.9,25.77
Chicago-Naperville-Elgin (Il-In-Wi),2018,10.7,22,27.92
Chicago-Naperville-Elgin (Il-In-Wi),2019,,18.86,27.27
Chico (Ca),2012,,,15
Chico (Ca),2013,,,15.7
Chico (Ca),2014,,,13.2
Chico (Ca),2015,,,12.6
Chico (Ca),2016,,,11.2
Chico (Ca),2017,,,11.8
Chico (Ca),2018,,,12.8
Cincinnati (Oh-Ky-In),2010,14.15,,18
Cincinnati (Oh-Ky-In),2011,13.2,,15.55
Cincinnati (Oh-Ky-In),2012,12.65,35.1,6.7
Cincinnati (Oh-Ky-In),2013,,30.25,22.4
Cincinnati (Oh-Ky-In),2014,12.9,25.7,14.65
Cincinnati (Oh-Ky-In),2016,,35.9,4.3
Cincinnati (Oh-Ky-In),2017,10.3,20.48,9.7
Cincinnati (Oh-Ky-In),2018,10.35,26.8,17.9
Cincinnati (Oh-Ky-In),2019,,40.1,17.2
Claremont-Lebanon (Nh-Vt),2013,6.1,,
Cleveland-Elyria (Oh),2010,13.5,24.1,29.7
Cleveland-Elyria (Oh),2011,,23,28.7
Cleveland-Elyria (Oh),2012,13.2,23.75,
Cleveland-Elyria (Oh),2013,12.1,22.9,
Cleveland-Elyria (Oh),2014,,21.85,23.1
Cleveland-Elyria (Oh),2015,,24.9,24.3
Cleveland-Elyria (Oh),2016,,24.73,20.8
Cleveland-Elyria (Oh),2017,11.2,20.73,
Cleveland-Elyria (Oh),2018,,21.77,21.2
Cleveland-Elyria (Oh),2019,10.2,15.6,
Clinton (Ia),2018,9,,
Colorado Springs (Co),2011,,19.1,
Colorado Springs (Co),2013,,19.4,
Colorado Springs (Co),2014,,19.5,
Colorado Springs (Co),2015,5.3,,
Colorado Springs (Co),2018,6.2,,
Colorado Springs (Co),2019,5,17.1,
Columbia (Sc),2010,,,10
Columbia (Sc),2012,,,8.7
Columbia (Sc),2017,,15,
Columbia (Sc),2018,,,8.1
Columbus (Ga-Al),2010,14.9,,
Columbus (Ga-Al),2011,11.85,,
Columbus (Ga-Al),2018,8.2,,
Columbus (Oh),2010,,32.4,
Columbus (Oh),2011,,23.3,
Colusa,2011,6.8,,
Colusa,2012,7.3,,
Colusa,2016,6.3,,
Colusa,2019,7,,
Corning (Ny),2010,7.2,,
Corning (Ny),2018,4.8,,
Corsicana (Tx),2011,,,8
Corsicana (Tx),2012,,,6.8
Corsicana (Tx),2013,,,7.1
Corsicana (Tx),2016,,,3.8
Corsicana (Tx),2018,,,6.9
Corsicana (Tx),2019,,,7
Cortina Indian Rancheria (Na),2013,7.2,,
Cortina Indian Rancheria (Na),2014,6.5,,
Cortina Indian Rancheria (Na),2016,4.5,,
Cortina Indian Rancheria (Na),2017,4.4,,
Cortina Indian Rancheria (Na),2018,10.3,,
Dallas-Fort Worth-Arlington (Tx),2010,,,13.23
Dallas-Fort Worth-Arlington (Tx),2011,,,14.69
Dallas-Fort Worth-Arlington (Tx),2012,,,13.65
Dallas-Fort Worth-Arlington (Tx),2013,,,10.85
Dallas-Fort Worth-Arlington (Tx),2014,,,9.58
Dallas-Fort Worth-Arlington (Tx),2015,,,9.91
Dallas-Fort Worth-Arlington (Tx),2016,,,13.17
Dallas-Fort Worth-Arlington (Tx),2017,,,10.64
